name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Maine Mendoza,mainedcm,6615972,350,en,,Actor,http://pbs.twimg.com/profile_images/1225323427759681536/Py9bVe8J_normal.jpg,,2022-05-12 11:51:24
Rana Daggubati,RanaDaggubati,6496788,308,en,"Hyderabad, India",Actor,http://pbs.twimg.com/profile_images/1426841273504202752/_MM4jCik_normal.jpg,,2022-05-12 04:50:36
Nagarjuna Akkineni,iamnagarjuna,6384907,3,en,hyderabad,Actor,http://pbs.twimg.com/profile_images/936095310475956224/Sp5d5Gon_normal.jpg,,2022-05-11 13:50:41
Sunny Leone,SunnyLeone,6358005,316,en,Mumbai,Actor,http://pbs.twimg.com/profile_images/1178987041209454594/uhPst1AS_normal.jpg,http://Idreamofsunnynft.com,2022-05-12 04:51:19
Rajinikanth,rajinikanth,6187194,24,en,,Actor,http://pbs.twimg.com/profile_images/980000107415314432/pJ3ANCkn_normal.jpg,,2022-05-12 12:51:15
Dylan O'Brien,dylanobrien,6174793,2394,da,,Actor,http://pbs.twimg.com/profile_images/441438607828451328/g24eSR4S_normal.jpeg,http://www.imdb.com/name/nm3729721/,2022-05-12 04:50:50
Alden Richards,aldenrichards02,5972435,338,en,Philippines,Actor,http://pbs.twimg.com/profile_images/1485173749087629320/j8aD92As_normal.jpg,http://facebook.com/aldenrichards,2022-05-12 11:51:24
Sonic the Hedgehog,sonic_hedgehog,5929939,74,en,Los Angeles and London,Actor,http://pbs.twimg.com/profile_images/686613263811907584/Ni3AWru__normal.png,,2022-05-10 14:50:19
Jeremy Renner,JeremyRenner,5820586,491,,,Actor,http://pbs.twimg.com/profile_images/1309345216302899200/GRwcyAQ__normal.jpg,http://smarturl.it/LiveForNow,2022-05-11 12:50:50
Preity G Zinta,realpreityzinta,5820211,110,en,Catch me if you can....,Actor,http://pbs.twimg.com/profile_images/917631983370461184/bXQjpkDe_normal.jpg,https://www.facebook.com/officialpz,2022-05-12 11:50:56
Vijay Mallya,TheVijayMallya,5784213,251,et,India,Actor,http://pbs.twimg.com/profile_images/827708603/Copy_of_VJM_4_normal.JPG,https://www.twitter.com/thevijaymallya,2022-05-10 07:50:30
John Cleese,JohnCleese,5703485,257,en,London,Actor,http://pbs.twimg.com/profile_images/2622284361/1emzqsaz3t5glbyndf66_normal.jpeg,http://www.uniquelives.com/john-cleese-america,2022-05-11 19:51:17
Ben Stiller,BenStiller,5647062,1687,en,Red Hour Films NY-LA,Actor,http://pbs.twimg.com/profile_images/1471661562305908738/rqgtap-N_normal.jpg,http://apple.co/severance,2022-05-12 00:50:33
kerry washington,kerrywashington,5547628,865,en,,Actor,http://pbs.twimg.com/profile_images/1440339503583883265/ONuNXt6T_normal.jpg,https://my.community.com/kerrywashington,2022-05-12 12:51:04
Steve Carell,SteveCarell,5502950,66,,Los Angeles,Actor,http://pbs.twimg.com/profile_images/771722848704475136/4doM7H7R_normal.jpg,,2022-05-12 13:50:42
Tamannaah Bhatia,tamannaahspeaks,5451298,183,en,,Actor,http://pbs.twimg.com/profile_images/1408637269821460480/_wXP79NB_normal.jpg,https://amzn.to/37F0ncA,2022-05-12 09:50:32
Kajal Aggarwal,MsKajalAggarwal,5302251,276,en,India,Actor,http://pbs.twimg.com/profile_images/727053878978449408/rHgoO6Za_normal.jpg,https://www.facebook.com/ImKajalAggarwal/,2022-05-12 10:50:46
Tiger Shroff,iTIGERSHROFF,5197815,88,en,"Mumbai, India",Actor,http://pbs.twimg.com/profile_images/1370395132780892163/xeCoUAsP_normal.jpg,http://www.instagram.com/TigerJackieShroff,2022-05-12 08:50:20
Mark Hamill,MarkHamill,5087636,919,en,,Actor,http://pbs.twimg.com/profile_images/1505285635166269445/PtZmuOh6_normal.jpg,,2022-05-12 09:50:58
Pawan Kalyan,PawanKalyan,4845097,263,en,,Actor,http://pbs.twimg.com/profile_images/822297476480860162/0aaEIx6A_normal.jpg,,2022-05-11 11:50:33
taapsee pannu,taapsee,4760415,162,en,all over the world,Actor,http://pbs.twimg.com/profile_images/1503758661872721927/CkzlF9dx_normal.jpg,http://www.mylaiqa.com,2022-05-12 08:50:59
Keerthy Suresh,KeerthyOfficial,4740604,261,en,"Chennai, India",Actor,http://pbs.twimg.com/profile_images/1499727112630304769/8F4xvp8x_normal.jpg,,2022-05-12 12:13:30
Nani,NameisNani,4604921,35,it,"Hyderabad, India",Actor,http://pbs.twimg.com/profile_images/1376469434445881352/_H_B6lxO_normal.jpg,,2022-05-10 06:50:18
Hilary Duff,HilaryDuff,4545631,157,,"Los Angeles, CA",Actor,http://pbs.twimg.com/profile_images/1144281188170788866/TrcYK_AB_normal.jpg,http://smarturl.it/iBIBO?iqid=tw,2022-05-12 13:50:26
Yami Gautam Dhar,yamigautam,4510033,10,en,,Actor,http://pbs.twimg.com/profile_images/1515710890615656460/Cej0vgnP_normal.jpg,,2022-05-11 11:51:09
Gabrielle Union,itsgabrielleu,4481573,1018,en,,Actor,http://pbs.twimg.com/profile_images/672068677211172864/2EAoEgP1_normal.jpg,https://flawlesscurls.com/,2022-05-12 12:12:07
Tom Hiddleston,twhiddleston,4316188,1294,,,Actor,http://pbs.twimg.com/profile_images/872735699488866304/3X7wPXrK_normal.jpg,https://betrayalonbroadway.com/,2022-05-12 04:50:36
Pooja Hegde,hegdepooja,4301522,80,en,"Mumbai today,tomorrow d world",Actor,http://pbs.twimg.com/profile_images/1427462449465233411/9sBxPH7u_normal.jpg,,2022-05-12 04:50:36
JARED LETO,JaredLeto,4206208,4,und,IG/SNAPCHAT/TIK TOK: JaredLeto,Actor,http://pbs.twimg.com/profile_images/1350231095841701889/heJyb2Nl_normal.jpg,https://store.thirtysecondstomars.com,2022-05-12 13:51:08
Joseph Gordon-Levitt,hitRECordJoe,4037734,513,en,"Los Angeles, CA",Actor,http://pbs.twimg.com/profile_images/1466842995936751620/m0XsUxGy_normal.jpg,https://bit.ly/3FrMmOy,2022-05-12 13:50:42
Yash Raj Films,yrf,4005076,106,en,"Mumbai, INDIA",Actor,http://pbs.twimg.com/profile_images/1319650087916638210/WzCZ1CSu_normal.jpg,https://www.yashrajfilms.com/,2022-05-12 04:50:40
Jennifer Hudson,IAMJHUD,3975672,691,en,Chicago,Actor,http://pbs.twimg.com/profile_images/1316777838792466432/lcC3i7pH_normal.jpg,https://jenniferhudson.lnk.to/RESPECT,2022-05-12 12:50:25
debby ryan,DebbyRyan,3944559,491,,n/a,Actor,http://pbs.twimg.com/profile_images/1496273087020482561/JzermZg2_normal.jpg,http://bit.ly/thereyoulisten,2022-05-10 16:51:11
norman reedus,wwwbigbaldhead,3821009,9499,en,,Actor,http://pbs.twimg.com/profile_images/1142377140052250624/vgaUAj3D_normal.jpg,"http://www.bigbaldhead.com,http://bigbaldhead.com",2022-05-10 22:50:29
Jayam Ravi,actor_jayamravi,3801564,110,en,Chennai,Actor,http://pbs.twimg.com/profile_images/1499013829090738180/Qb2dsTZR_normal.jpg,http://www.fb.com/JayamRaviOfficial,2022-05-12 12:51:15
Lay Zhang,layzhang,3747633,14,en,,K-pop musician and actor,http://pbs.twimg.com/profile_images/1012929335664173056/Xv5dX8-I_normal.jpg,https://orcd.co/lay_jiu,2022-05-11 16:51:33
Rashmika Mandanna,iamRashmika,3652938,211,en,"Karnataka, India",Actor,http://pbs.twimg.com/profile_images/1381497969434750978/Uv_AIIrm_normal.jpg,https://bit.ly/SaamiSaamiSong,2022-05-11 23:50:47
Kajol,itsKajolD,3469850,12,en,Mumbai,Actor,http://pbs.twimg.com/profile_images/1318788393787031552/OBdvT5tK_normal.jpg,,2022-05-12 02:50:29
John Abraham,TheJohnAbraham,3390847,35,en,,Actor,http://pbs.twimg.com/profile_images/739491566734049280/BDS5ofqH_normal.jpg,http://www.johnabraham.com,2022-05-11 23:50:23
